id,symbol,name,polygon_pos_contract_hash,ethereum_contract_hash,avalanche_contract_hash,solana_contract_hash,circulating_supply,total_supply,max_supply,ath,ath_date,atl,atl_date,last_updated
dai,DAI,Dai,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,0x6b175474e89094c44da98b954eedeac495271d0f,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,NaN,9452279419.45973,9452279419.45973,9452279419.45973,1.22,2020-03-13T03:02:50.373Z,0.903243,2019-11-25T00:04:18.137Z,2022-02-24T23:12:57.650Z
dao-maker,DAO,DAO Maker,NaN,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,NaN,NaN,88998000.0,277524000.0,277524000.0,8.71,2021-04-21T17:13:06.858Z,1.24,2021-07-22T11:15:31.791Z,2022-02-24T23:13:57.525Z
dash,DASH,Dash,NaN,NaN,NaN,NaN,10593634.9194378,18920000.0,NaN,1493.59,2017-12-20T00:00:00.000Z,0.213899,2014-02-14T00:00:00.000Z,2022-02-24T23:14:24.225Z
decentraland,MANA,Decentraland,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,NaN,NaN,1497149988.74787,2193830027.32015,2193830027.32015,5.85,2021-11-25T10:04:18.534Z,0.00923681,2017-10-31T00:00:00.000Z,2022-02-24T23:14:14.894Z
decred,DCR,Decred,NaN,NaN,NaN,NaN,13795351.5792696,21000000.0,NaN,247.35,2021-04-17T00:41:14.790Z,0.43154,2016-12-26T00:00:00.000Z,2022-02-24T23:13:53.635Z
defi-kingdoms,JEWEL,DeFi Kingdoms,NaN,NaN,NaN,NaN,68774062.7295788,341185378.125421,500000000.0,22.52,2022-01-05T08:03:35.714Z,1.23,2021-09-24T10:00:29.738Z,2022-02-24T23:14:13.026Z
dent,DENT,Dent,NaN,0x3597bfd533a99c9aa083587b074434e61eb0a258,NaN,NaN,95654960452.73587,100000000000.0,NaN,0.1006,2018-01-09T00:00:00.000Z,7.065e-05,2020-03-13T02:29:09.754Z,2022-02-24T23:12:56.983Z
digibyte,DGB,DigiByte,NaN,NaN,NaN,NaN,15122278386.1992,21000000000.0,NaN,0.178084,2021-05-01T00:19:01.967Z,3.099e-05,2015-01-14T00:00:00.000Z,2022-02-24T23:13:10.094Z
digitalbits,XDB,DigitalBits,NaN,0xb9eefc4b0d472a44be93970254df4f4016569d27,NaN,NaN,762155983.4420308,1500000000.0,NaN,0.850722,2021-11-21T17:05:47.713Z,0.00641942,2020-03-18T10:39:47.288Z,2022-02-24T23:12:57.713Z
divi,DIVI,Divi,NaN,NaN,NaN,NaN,2754091836.72877,NaN,NaN,0.183363,2021-12-02T06:47:39.220Z,0.00164792,2019-02-26T00:00:00.000Z,2022-02-24T23:12:36.727Z
